CustomerID,FirstName,LastName,Email,DateOfBirth,Phone,Postcode,FailureType,FailureDescription
735,David,Wilson,david.wilson@test.org,11/06/1973,4.47918E+11,80268,Uniqueness,Duplicate CustomerID
254,Emily,Rodriguez,emily.rodriguez@test.org,19/06/1956,4.47426E+11,15544,Uniqueness,Duplicate CustomerID
801,James,Johnson,james.johnson@mail.com,16/03/1973,4.47438E+11,60860,Uniqueness,Duplicate CustomerID
356,Laura,Rodriguez,laura.rodriguez@demo.net,30/09/1994,4.47944E+11,50441,Uniqueness,Duplicate CustomerID
597,Emily,Jones,,06/04/1978,4.47994E+11,61505,Completeness,Missing mandatory field(s)
180,David,Williams,david.williams@example.com,14/02/1992,4.47839E+11,44737,Uniqueness,Duplicate CustomerID
86,Anna,Miller,anna.miller@demo.net,20/08/1989,4.47475E+11,98555,Uniqueness,Duplicate CustomerID
801,James,Brown,james.brown@demo.net,06/07/1990,4.47954E+11,39949,Uniqueness,Duplicate CustomerID
807,Emily,Williams,invalid@,17/12/1998,,ABCDE,Validity,Invalid format or value
121,Laura,Johnson,laura.johnson@demo.net,16/10/2026,4.47682E+11,70258,Consistency,Date of birth is after current date
15,James,Brown,,07/01/1955,,,Validity,Invalid format or value
653,Chris,Davis,chris.davis@demo.net,29/10/2025,4.47961E+11,96643,Consistency,Date of birth is after current date
405,Jane,Garcia,jane.garcia@test.org,30/04/1964,4.47435E+11,99925,Uniqueness,Duplicate CustomerID
348,David,Jones,invalid@,19/07/1956,abcdefghij,,Validity,Invalid format or value
990,David,Wilson,,04/12/1956,,ABCDE,Validity,Invalid format or value
231,David,Miller,noatsign.com,09/10/1985,abcdefghij,,Validity,Invalid format or value
234,Jane,Miller,jane.miller@mail.com,01/12/1999,4.47064E+11,86869,Completeness,Missing mandatory field(s)
875,John,Miller,invalid@,10/01/1950,abcdefghij,9999999999,Validity,Invalid format or value
837,James,Davis,user@@domain.com,15/12/1980,4.4E+11,,Validity,Invalid format or value
699,Sarah,Rodriguez,,02/04/1965,,96194,Completeness,Missing mandatory field(s)
619,James,Wilson,james.wilson@test.org,25/12/1964,4.4707E+11,15992,Uniqueness,Duplicate CustomerID
487,Laura,Wilson,laura.wilson@mail.com,07/12/2026,4.47115E+11,27758,Consistency,Date of birth is after current date
540,Jane,Davis,,10/02/1983,,73968,Completeness,Missing mandatory field(s)
905,Jane,Williams,jane.williams@test.org,10/05/1960,4.47955E+11,24029,Uniqueness,Duplicate CustomerID
66,James,Smith,james.smith@test.org,26/02/2027,4.47593E+11,29410,Consistency,Date of birth is after current date
32,David,Brown,david.brown@mail.com,26/05/2026,4.47428E+11,98039,Consistency,Date of birth is after current date
352,Jane,Miller,jane.miller@mail.com,09/11/2025,4.47132E+11,45058,Consistency,Date of birth is after current date
291,Chris,Johnson,noatsign.com,22/06/1974,4.4E+11,,Validity,Invalid format or value
690,Laura,Jones,invalid@,14/11/1991,4.4E+11,,Validity,Invalid format or value
273,Laura,Rodriguez,invalid@,25/08/1982,12345,,Validity,Invalid format or value
240,Anna,Wilson,anna.wilson@example.com,20/08/2004,4.47998E+11,,Completeness,Missing mandatory field(s)
73,Sarah,Jones,sarah.jones@mail.com,28/03/2026,4.47025E+11,96511,Consistency,Date of birth is after current date
473,Jane,Jones,jane.jones@mail.com,13/04/1986,4.47743E+11,41890,Uniqueness,Duplicate CustomerID
24,David,Williams,,17/04/1950,4.47775E+11,44522,Completeness,Missing mandatory field(s)
197,Anna,Miller,anna.miller@mail.com,22/01/1967,4.47667E+11,42850,Completeness,Missing mandatory field(s)
614,John,Wilson,john.wilson@mail.com,21/02/2027,4.47536E+11,64000,Consistency,Date of birth is after current date
51,Michael,Johnson,michael.johnson@example.com,07/02/1971,4.47434E+11,25713,Uniqueness,Duplicate CustomerID
906,Jane,Rodriguez,jane.rodriguez@example.com,02/02/1966,4.4724E+11,77603,Uniqueness,Duplicate CustomerID
55,Chris,Garcia,user@@domain.com,05/07/1956,,ABCDE,Validity,Invalid format or value
821,Sarah,Garcia,sarah.garcia@demo.net,19/02/2026,4.47385E+11,50038,Consistency,Date of birth is after current date
923,James,Johnson,james.johnson@example.com,19/07/1973,,30352,Completeness,Missing mandatory field(s)
765,Anna,Wilson,anna.wilson@test.org,28/04/2026,4.47946E+11,60418,Consistency,Date of birth is after current date
589,Anna,Brown,,15/01/1983,,74665,Completeness,Missing mandatory field(s)
27,James,Rodriguez,user@@domain.com,26/09/2003,,9999999999,Validity,Invalid format or value
740,Laura,Wilson,,06/04/1966,,59774,Completeness,Missing mandatory field(s)
470,James,Miller,james.miller@demo.net,22/07/1962,,20279,Completeness,Missing mandatory field(s)
764,Anna,Williams,noatsign.com,17/04/1959,,ABCDE,Validity,Invalid format or value
167,Laura,Jones,laura.jones@example.com,15/09/1986,4.47723E+11,75444,Uniqueness,Duplicate CustomerID
282,Chris,Johnson,,19/03/1980,4.47941E+11,91006,Completeness,Missing mandatory field(s)
200,Sarah,Davis,,06/01/1968,abcdefghij,9999999999,Validity,Invalid format or value
703,Emily,Garcia,emily.garcia@example.com,01/08/2005,4.47949E+11,83584,Uniqueness,Duplicate CustomerID
172,Sarah,Rodriguez,invalid@,26/03/1950,12345,ABCDE,Validity,Invalid format or value
315,Laura,Davis,laura.davis@test.org,05/10/1966,4.47533E+11,,Completeness,Missing mandatory field(s)
978,James,Jones,james.jones@test.org,18/03/1993,4.47579E+11,39770,Uniqueness,Duplicate CustomerID
528,James,Rodriguez,james.rodriguez@example.com,17/05/2026,4.47123E+11,45112,Consistency,Date of birth is after current date
347,John,Garcia,john.garcia@test.org,18/08/2026,4.47519E+11,42096,Consistency,Date of birth is after current date
192,Emily,Brown,emily.brown@test.org,01/10/2004,4.47679E+11,66120,Uniqueness,Duplicate CustomerID
812,Anna,Jones,anna.jones@mail.com,21/02/2026,4.47195E+11,97946,Consistency,Date of birth is after current date
735,John,Williams,john.williams@mail.com,11/08/2026,4.47384E+11,67372,Consistency,Date of birth is after current date
656,Laura,Jones,user@@domain.com,04/02/1974,abcdefghij,,Validity,Invalid format or value
398,Sarah,Williams,sarah.williams@demo.net,30/01/1973,,,Completeness,Missing mandatory field(s)
24,David,Williams,david.williams@demo.net,28/12/2026,4.47775E+11,44522,Consistency,Date of birth is after current date
200,Chris,Davis,chris.davis@mail.com,24/02/1962,4.47822E+11,94085,Uniqueness,Duplicate CustomerID
825,Anna,Wilson,anna.wilson@demo.net,24/05/2026,4.47228E+11,14804,Consistency,Date of birth is after current date
794,Anna,Garcia,anna.garcia@mail.com,07/02/1955,4.47545E+11,20500,Uniqueness,Duplicate CustomerID
317,Jane,Davis,jane.davis@mail.com,09/12/1998,4.47315E+11,52101,Uniqueness,Duplicate CustomerID
367,Sarah,Garcia,sarah.garcia@demo.net,13/05/1963,4.47651E+11,77568,Uniqueness,Duplicate CustomerID
602,Jane,Johnson,,17/04/1977,4.4E+11,ABCDE,Validity,Invalid format or value
108,Michael,Garcia,michael.garcia@mail.com,08/10/2026,4.47279E+11,59689,Consistency,Date of birth is after current date
564,James,Garcia,james.garcia@test.org,19/09/1992,4.47105E+11,67431,Uniqueness,Duplicate CustomerID
960,Laura,Garcia,laura.garcia@test.org,26/11/2026,4.47748E+11,74237,Consistency,Date of birth is after current date
492,Laura,Wilson,laura.wilson@mail.com,28/03/1979,4.47404E+11,46739,Completeness,Missing mandatory field(s)
312,David,Johnson,david.johnson@demo.net,07/01/1973,4.4758E+11,47070,Uniqueness,Duplicate CustomerID
664,Michael,Wilson,michael.wilson@test.org,08/09/1978,4.47978E+11,18783,Uniqueness,Duplicate CustomerID
700,James,Williams,,04/10/1958,4.47505E+11,,Completeness,Missing mandatory field(s)
634,John,Wilson,,29/11/2000,,33865,Completeness,Missing mandatory field(s)
741,Sarah,Wilson,sarah.wilson@example.com,21/09/1961,4.47519E+11,73979,Uniqueness,Duplicate CustomerID
60,Jane,Williams,jane.williams@test.org,03/12/2026,4.47955E+11,24029,Consistency,Date of birth is after current date
740,Laura,Johnson,laura.johnson@mail.com,25/09/1973,4.47846E+11,91927,Uniqueness,Duplicate CustomerID
207,Sarah,Wilson,sarah.wilson@mail.com,03/09/1955,4.47682E+11,70852,Completeness,Missing mandatory field(s)
452,James,Smith,james.smith@example.com,01/09/1956,4.47878E+11,97584,Uniqueness,Duplicate CustomerID
663,David,Johnson,david.johnson@demo.net,11/12/2026,4.47883E+11,92211,Consistency,Date of birth is after current date
57,James,Jones,,24/04/1981,,19016,Completeness,Missing mandatory field(s)
867,James,Davis,james.davis@test.org,14/03/2026,4.47659E+11,99727,Consistency,Date of birth is after current date
36,John,Brown,,26/10/1952,,53309,Completeness,Missing mandatory field(s)
954,David,Johnson,david.johnson@test.org,24/07/1992,4.47754E+11,30070,Uniqueness,Duplicate CustomerID
573,Jane,Garcia,invalid@,30/09/1977,12345,,Validity,Invalid format or value
732,Chris,Brown,chris.brown@demo.net,23/07/1976,4.47284E+11,70853,Uniqueness,Duplicate CustomerID
777,James,Jones,user@@domain.com,26/03/1984,12345,ABCDE,Validity,Invalid format or value
617,James,Smith,,21/03/1982,,81371,Completeness,Missing mandatory field(s)
138,Chris,Williams,chris.williams@demo.net,16/03/1959,4.47937E+11,11607,Completeness,Missing mandatory field(s)
253,Laura,Davis,laura.davis@mail.com,04/08/1961,4.47408E+11,79806,Completeness,Missing mandatory field(s)
786,Laura,Johnson,laura.johnson@test.org,21/10/1974,4.47688E+11,52616,Uniqueness,Duplicate CustomerID
908,James,Wilson,james.wilson@example.com,31/01/2026,4.47106E+11,31409,Consistency,Date of birth is after current date
893,Laura,Wilson,noatsign.com,31/07/1998,abcdefghij,9999999999,Validity,Invalid format or value
136,Chris,Brown,chris.brown@test.org,05/02/1966,,11854,Completeness,Missing mandatory field(s)
332,James,Rodriguez,invalid@,28/11/1976,,9999999999,Validity,Invalid format or value
754,John,Brown,john.brown@demo.net,22/06/2026,4.47601E+11,91232,Consistency,Date of birth is after current date
210,Michael,Davis,michael.davis@demo.net,01/01/2026,4.4772E+11,80804,Consistency,Date of birth is after current date
346,Anna,Jones,user@@domain.com,30/04/2001,,,Validity,Invalid format or value
572,Emily,Smith,emily.smith@mail.com,26/09/1957,4.47993E+11,66948,Uniqueness,Duplicate CustomerID
626,John,Brown,john.brown@mail.com,16/10/1951,4.47565E+11,72650,Completeness,Missing mandatory field(s)
486,Jane,Miller,user@@domain.com,15/02/1972,4.4E+11,ABCDE,Validity,Invalid format or value
394,John,Davis,john.davis@demo.net,19/09/1966,4.47804E+11,47941,Completeness,Missing mandatory field(s)
706,John,Williams,john.williams@mail.com,21/12/1967,4.47368E+11,63633,Uniqueness,Duplicate CustomerID
595,Laura,Johnson,laura.johnson@example.com,06/05/1995,4.47143E+11,93521,Uniqueness,Duplicate CustomerID
405,Anna,Davis,anna.davis@example.com,23/09/1962,4.47796E+11,92991,Uniqueness,Duplicate CustomerID
395,John,Smith,invalid@,14/12/2000,abcdefghij,9999999999,Validity,Invalid format or value
315,Laura,Davis,laura.davis@test.org,17/04/2026,4.47533E+11,75211,Consistency,Date of birth is after current date
769,Emily,Brown,user@@domain.com,23/12/1980,,,Validity,Invalid format or value
570,Emily,Garcia,emily.garcia@mail.com,22/08/1955,4.47284E+11,58422,Uniqueness,Duplicate CustomerID
42,Emily,Brown,,11/02/1998,12345,ABCDE,Validity,Invalid format or value
77,Jane,Wilson,,05/01/1981,4.4E+11,ABCDE,Validity,Invalid format or value
908,James,Wilson,invalid@,28/09/1985,,,Validity,Invalid format or value
999,Anna,Smith,anna.smith@demo.net,27/02/2026,4.47091E+11,62235,Consistency,Date of birth is after current date
734,Sarah,Miller,,25/05/1960,4.47102E+11,,Completeness,Missing mandatory field(s)
846,John,Jones,john.jones@example.com,29/07/2026,4.47482E+11,89498,Consistency,Date of birth is after current date
821,Sarah,Garcia,user@@domain.com,15/12/1989,4.4E+11,9999999999,Validity,Invalid format or value
607,Anna,Miller,anna.miller@mail.com,22/01/1967,4.47667E+11,42850,Uniqueness,Duplicate CustomerID
468,John,Brown,,25/09/1985,4.47997E+11,20084,Completeness,Missing mandatory field(s)
652,Michael,Jones,user@@domain.com,26/06/1992,12345,,Validity,Invalid format or value
970,Laura,Brown,,08/11/1952,4.47613E+11,94115,Completeness,Missing mandatory field(s)
428,James,Brown,james.brown@example.com,28/07/1962,4.47541E+11,47914,Uniqueness,Duplicate CustomerID
173,Anna,Wilson,,02/05/1963,,80592,Completeness,Missing mandatory field(s)
964,John,Rodriguez,john.rodriguez@demo.net,01/03/2027,4.47948E+11,12453,Consistency,Date of birth is after current date
182,David,Brown,david.brown@test.org,13/04/1964,4.47845E+11,24168,Uniqueness,Duplicate CustomerID
17,Sarah,Rodriguez,sarah.rodriguez@test.org,31/05/1957,4.47781E+11,65640,Uniqueness,Duplicate CustomerID
110,Chris,Davis,chris.davis@test.org,07/05/1957,4.47505E+11,,Completeness,Missing mandatory field(s)
26,James,Wilson,user@@domain.com,18/09/1963,4.4E+11,ABCDE,Validity,Invalid format or value
589,Anna,Brown,invalid@,15/01/1983,,9999999999,Validity,Invalid format or value
495,James,Rodriguez,james.rodriguez@demo.net,16/07/1964,4.47877E+11,36174,Uniqueness,Duplicate CustomerID
276,David,Jones,user@@domain.com,27/01/2004,4.4E+11,,Validity,Invalid format or value
10,Anna,Brown,anna.brown@example.com,10/02/1954,4.4771E+11,,Completeness,Missing mandatory field(s)
627,John,Miller,noatsign.com,15/09/1961,4.4E+11,,Validity,Invalid format or value
247,Emily,Rodriguez,emily.rodriguez@demo.net,07/03/1986,4.47877E+11,40801,Uniqueness,Duplicate CustomerID
31,James,Williams,james.williams@test.org,30/11/2025,4.47937E+11,89507,Consistency,Date of birth is after current date
893,Laura,Wilson,laura.wilson@example.com,22/09/2026,4.47045E+11,73214,Consistency,Date of birth is after current date
332,James,Rodriguez,james.rodriguez@test.org,04/06/2026,4.47914E+11,30644,Consistency,Date of birth is after current date
236,David,Smith,david.smith@test.org,23/04/2026,4.47335E+11,56090,Consistency,Date of birth is after current date
591,John,Brown,john.brown@test.org,13/12/2025,4.4736E+11,10191,Consistency,Date of birth is after current date
300,Anna,Garcia,anna.garcia@example.com,09/11/2025,4.47898E+11,75513,Consistency,Date of birth is after current date
78,David,Wilson,david.wilson@example.com,30/07/2026,4.47966E+11,85574,Consistency,Date of birth is after current date
90,Emily,Garcia,emily.garcia@example.com,10/11/1990,4.47445E+11,92544,Uniqueness,Duplicate CustomerID
852,Michael,Garcia,michael.garcia@example.com,04/09/1997,4.4754E+11,,Completeness,Missing mandatory field(s)
184,Chris,Brown,invalid@,07/12/1988,12345,,Validity,Invalid format or value
939,Chris,Johnson,user@@domain.com,02/06/2005,,9999999999,Validity,Invalid format or value
430,Sarah,Brown,noatsign.com,08/11/1962,,,Validity,Invalid format or value
307,Sarah,Johnson,sarah.johnson@test.org,06/01/2026,4.47787E+11,96127,Consistency,Date of birth is after current date
538,Sarah,Brown,,29/11/1993,4.4E+11,ABCDE,Validity,Invalid format or value
232,Sarah,Davis,sarah.davis@test.org,13/11/1972,,30006,Completeness,Missing mandatory field(s)
960,Laura,Garcia,laura.garcia@test.org,10/09/1998,4.47748E+11,74237,Uniqueness,Duplicate CustomerID
61,James,Williams,james.williams@test.org,23/03/2026,4.47649E+11,37607,Consistency,Date of birth is after current date
775,Emily,Rodriguez,noatsign.com,07/03/1982,12345,,Validity,Invalid format or value
121,Laura,Johnson,,30/06/1982,,70258,Completeness,Missing mandatory field(s)
678,Jane,Jones,user@@domain.com,03/03/1962,12345,9999999999,Validity,Invalid format or value
382,Emily,Garcia,emily.garcia@test.org,17/01/1993,4.47375E+11,83464,Completeness,Missing mandatory field(s)
370,James,Garcia,james.garcia@test.org,09/08/1992,4.47876E+11,12180,Completeness,Missing mandatory field(s)
212,Laura,Wilson,laura.wilson@demo.net,05/02/1975,4.47035E+11,58566,Uniqueness,Duplicate CustomerID
297,Laura,Garcia,laura.garcia@example.com,15/02/2027,4.4702E+11,43544,Consistency,Date of birth is after current date
693,Laura,Johnson,invalid@,21/10/1974,12345,9999999999,Validity,Invalid format or value
797,John,Rodriguez,john.rodriguez@demo.net,13/05/1958,4.47241E+11,24871,Uniqueness,Duplicate CustomerID
850,Jane,Brown,invalid@,31/07/1984,,ABCDE,Validity,Invalid format or value
226,David,Davis,david.davis@example.com,26/12/1993,4.47765E+11,68138,Uniqueness,Duplicate CustomerID
473,Chris,Garcia,chris.garcia@demo.net,20/06/1970,4.47382E+11,82487,Uniqueness,Duplicate CustomerID
640,Michael,Davis,noatsign.com,23/12/1983,abcdefghij,9999999999,Validity,Invalid format or value
923,James,Johnson,james.johnson@example.com,19/07/1973,4.47664E+11,30352,Uniqueness,Duplicate CustomerID
303,Emily,Wilson,,21/10/1966,4.47713E+11,,Completeness,Missing mandatory field(s)
726,James,Wilson,james.wilson@example.com,13/05/1975,4.47122E+11,23928,Uniqueness,Duplicate CustomerID
444,Sarah,Jones,,07/04/1982,4.47551E+11,,Completeness,Missing mandatory field(s)
390,Jane,Williams,jane.williams@example.com,17/05/1999,4.47998E+11,30701,Completeness,Missing mandatory field(s)
611,Laura,Smith,laura.smith@mail.com,27/06/2001,,61773,Completeness,Missing mandatory field(s)
534,John,Wilson,,02/10/1997,,,Completeness,Missing mandatory field(s)
529,James,Miller,james.miller@example.com,05/03/2026,4.47587E+11,38644,Consistency,Date of birth is after current date
607,Jane,Smith,invalid@,10/12/1969,,9999999999,Validity,Invalid format or value
676,Emily,Garcia,,13/07/1986,4.47796E+11,73499,Completeness,Missing mandatory field(s)
568,James,Davis,james.davis@demo.net,02/02/1986,4.47089E+11,,Completeness,Missing mandatory field(s)
730,John,Smith,john.smith@example.com,28/11/1959,,85255,Completeness,Missing mandatory field(s)
265,Anna,Garcia,anna.garcia@test.org,13/05/1978,4.47162E+11,67640,Completeness,Missing mandatory field(s)
393,Emily,Rodriguez,noatsign.com,15/09/1965,abcdefghij,9999999999,Validity,Invalid format or value
98,Jane,Jones,jane.jones@mail.com,18/05/1974,4.47361E+11,51904,Uniqueness,Duplicate CustomerID
